account,date,payee,amount,notes,category
Credit Card,2026-02-28,Little Learners Preschool,-53.48,Tuition,Kids/Childcare
Savings,2026-02-28,Midas Auto Service,-132.23,,Auto Maintenance
Credit Card,2026-03-01,Little Learners Preschool,-103.34,Tuition,Kids/Childcare
Credit Card,2026-03-02,Walmart,-166.70,,Uncategorized
Checking,2026-03-03,Red Cross,-243.60,Donation,Gifts/Donations
Savings,2026-03-04,Enterprise Rent-A-Car,-240.66,,Travel
Savings,2026-03-04,Summit Home Loans,-1873.18,Mortgage payment,Mortgage/Rent
Credit Card,2026-03-05,Acme Corp Payroll,3155.58,Direct deposit,Income/Paycheck
Savings,2026-03-07,GuardHealth Insurance,-312.48,Premium payment,Insurance
Savings,2026-03-07,Enterprise Rent-A-Car,-281.41,,Travel
Checking,2026-03-08,Nordstrom Rack,-135.83,,Clothing
Checking,2026-03-08,Spotify,-13.01,,Subscriptions
Savings,2026-03-08,Little Learners Preschool,-91.83,Tuition,Kids/Childcare
Savings,2026-03-09,Circle K,-73.38,AplPay CIRCLE K,Fuel & Parking
Checking,2026-03-09,Shell,-41.76,,Fuel & Parking
Savings,2026-03-09,Costco,-239.34,,Uncategorized
Checking,2026-03-09,Bright Smile Dental,-206.19,Cleaning,Medical
Checking,2026-03-09,Old Navy,-31.00,,Clothing
Credit Card,2026-03-10,Ace Hardware,-443.02,,Home Improvement
Credit Card,2026-03-11,Local Food Bank,-161.51,Donation,Gifts/Donations
Checking,2026-03-11,Jiffy Lube,-259.61,Oil change,Auto Maintenance
Savings,2026-03-13,Kroger,-48.52,,Groceries
Savings,2026-03-13,Jiffy Lube,-275.13,Oil change,Auto Maintenance
Checking,2026-03-14,Kroger,-145.14,,Groceries
Savings,2026-03-16,Enterprise Rent-A-Car,-149.74,,Travel
Credit Card,2026-03-17,Etsy,-41.74,Online order,Spending Money
Checking,2026-03-18,Delta Air Lines,-112.46,,Travel
Savings,2026-03-18,Petco,-127.43,,Pets
Savings,2026-03-18,Bright Smile Dental,-261.55,Cleaning,Medical
Savings,2026-03-19,Internal Transfer,-287.65,Transfer between own accounts,Uncategorized
Checking,2026-03-19,Riverside Family Clinic,-108.12,Copay,Medical
Checking,2026-03-19,AMC Theatres,-83.73,,Fun Money/Entertainment
Checking,2026-03-19,Old Navy,-146.33,,Clothing
Checking,2026-03-19,Steam,-93.62,Game purchase,Fun Money/Entertainment
Checking,2026-03-20,Metro Gas Co,-164.64,Monthly utility bill,Utilities
Checking,2026-03-21,Jiffy Lube,-543.03,Oil change,Auto Maintenance
Checking,2026-03-22,Fiber Internet Co,-92.66,Internet service,Utilities
Savings,2026-03-23,Acme Corp Payroll,2346.95,Direct deposit,Income/Paycheck
Credit Card,2026-03-24,Sunshine Daycare,-74.62,Weekly childcare,Kids/Childcare
Credit Card,2026-03-24,Acme Corp Payroll,2504.83,Direct deposit,Income/Paycheck
Credit Card,2026-03-24,Internal Transfer,-151.11,Buffer savings transfer,2 Month Buffer
Credit Card,2026-03-25,Metro Gas Co,-169.59,Monthly utility bill,Utilities
Credit Card,2026-03-25,Meridian Property Mgmt,-2159.43,Monthly rent,Mortgage/Rent
Savings,2026-03-26,Internal Transfer,-459.05,Buffer savings transfer,2 Month Buffer
Savings,2026-03-26,Walmart,-33.19,,Uncategorized
Credit Card,2026-03-28,Riverside Animal Hospital,-11.63,Checkup,Pets
Checking,2026-03-29,Sunshine Daycare,-32.36,Weekly childcare,Kids/Childcare
Credit Card,2026-03-30,Michaels,-70.75,AplPay MICHAELS,Spending Money
Checking,2026-03-30,Jiffy Lube,-533.23,Oil change,Auto Maintenance
Credit Card,2026-03-30,Trader Joe's,-51.95,,Groceries
Savings,2026-03-30,GuardHealth Insurance,-191.78,Premium payment,Insurance
Savings,2026-03-31,Little Learners Preschool,-207.34,Tuition,Kids/Childcare
Credit Card,2026-03-31,Netflix,-19.09,,Subscriptions
Checking,2026-03-31,Petco,-187.78,,Pets
Credit Card,2026-04-01,Local Bowling Alley,-112.53,,Fun Money/Entertainment
Checking,2026-04-02,Meridian Property Mgmt,-1984.06,Monthly rent,Mortgage/Rent
Checking,2026-04-03,Midas Auto Service,-292.75,,Auto Maintenance
Checking,2026-04-04,Midas Auto Service,-638.42,,Auto Maintenance
Savings,2026-04-04,Little Learners Preschool,-232.74,Tuition,Kids/Childcare
Checking,2026-04-04,Barnes & Noble,-43.70,,Spending Money
Savings,2026-04-04,Petco,-62.33,,Pets
Checking,2026-04-04,Summit Home Loans,-1984.94,Mortgage payment,Mortgage/Rent
Checking,2026-04-05,Starbucks,-63.18,AplPay STARBUCKS,Restaurants
Checking,2026-04-06,Acme Corp Payroll,1503.19,Direct deposit,Income/Paycheck
Checking,2026-04-06,Nordstrom Rack,-123.39,,Clothing
Checking,2026-04-06,iCloud Storage,-14.93,,Subscriptions
Checking,2026-04-07,Little Learners Preschool,-363.95,Tuition,Kids/Childcare
Savings,2026-04-07,City Parking Garage,-21.07,Monthly parking,Fuel & Parking
Savings,2026-04-07,Jiffy Lube,-376.40,Oil change,Auto Maintenance
Credit Card,2026-04-08,Riverside Animal Hospital,-175.52,Checkup,Pets
Savings,2026-04-09,Metro Gas Co,-57.68,Monthly utility bill,Utilities
Credit Card,2026-04-09,Riverside Animal Hospital,-195.08,Checkup,Pets
Savings,2026-04-10,Jiffy Lube,-431.59,Oil change,Auto Maintenance
Credit Card,2026-04-10,Riverside Animal Hospital,-136.22,Checkup,Pets
Credit Card,2026-04-10,Summit Home Loans,-1965.93,Mortgage payment,Mortgage/Rent
Credit Card,2026-04-11,Internal Transfer,-249.69,Buffer savings transfer,2 Month Buffer
Checking,2026-04-11,Local Food Bank,-13.36,Donation,Gifts/Donations
Checking,2026-04-11,GuardHealth Insurance,-196.83,Premium payment,Insurance
Savings,2026-04-13,Costco,-245.07,,Uncategorized
Checking,2026-04-13,Sunshine Daycare,-121.99,Weekly childcare,Kids/Childcare
Credit Card,2026-04-14,Amazon,-281.25,Online order,Uncategorized
Savings,2026-04-14,Riverside Family Clinic,-356.99,Copay,Medical
Savings,2026-04-15,Etsy,-119.66,Online order,Spending Money
Checking,2026-04-16,Red Cross,-98.73,Donation,Gifts/Donations
Checking,2026-04-16,Little Learners Preschool,-198.65,Tuition,Kids/Childcare
Checking,2026-04-16,Netflix,-14.08,,Subscriptions
Credit Card,2026-04-17,Internal Transfer,-262.54,Buffer savings transfer,2 Month Buffer
Savings,2026-04-17,Venmo,-179.89,Payment to friend,Uncategorized
Checking,2026-04-17,Trader Joe's,-80.37,,Groceries
Checking,2026-04-18,Old Navy,-182.84,,Clothing
Credit Card,2026-04-20,Target,-86.21,,Spending Money
Savings,2026-04-20,Riverside Animal Hospital,-97.08,Checkup,Pets
Savings,2026-04-20,Nordstrom Rack,-85.71,,Clothing
Checking,2026-04-20,Downtown Pharmacy,-387.79,,Medical
Savings,2026-04-21,Target,-57.96,,Spending Money
Savings,2026-04-21,Ace Hardware,-326.14,,Home Improvement
Checking,2026-04-22,Shell,-14.68,,Fuel & Parking
Credit Card,2026-04-22,Spotify,-18.90,,Subscriptions
Credit Card,2026-04-22,Sunshine Daycare,-223.98,Weekly childcare,Kids/Childcare
Credit Card,2026-04-22,Old Navy,-159.71,,Clothing
Credit Card,2026-04-23,Summit Home Loans,-2131.12,Mortgage payment,Mortgage/Rent
Credit Card,2026-04-23,Delta Air Lines,-235.59,,Travel
Checking,2026-04-23,Internal Transfer,-218.40,Transfer between own accounts,Uncategorized
Checking,2026-04-23,Shell,-56.23,,Fuel & Parking
Credit Card,2026-04-24,Riverside Animal Hospital,-70.22,Checkup,Pets
Credit Card,2026-04-24,Lowe's,-514.96,,Home Improvement
Checking,2026-04-24,Internal Transfer,-178.77,Buffer savings transfer,2 Month Buffer
Savings,2026-04-24,Chipotle,-59.66,,Restaurants
Checking,2026-04-24,Old Navy,-133.79,,Clothing
Savings,2026-04-24,Acme Corp Payroll,1429.61,Direct deposit,Income/Paycheck
Savings,2026-04-26,Chevron,-56.71,,Fuel & Parking
Checking,2026-04-28,Local Food Bank,-233.31,Donation,Gifts/Donations
Savings,2026-04-28,Chevron,-12.85,,Fuel & Parking
Credit Card,2026-04-29,Netflix,-11.53,,Subscriptions
Savings,2026-05-01,Sunshine Daycare,-179.86,Weekly childcare,Kids/Childcare
Checking,2026-05-02,Lowe's,-480.99,,Home Improvement
Checking,2026-05-02,Midas Auto Service,-172.58,,Auto Maintenance
Credit Card,2026-05-03,Petco,-38.58,,Pets
Savings,2026-05-04,Riverside Animal Hospital,-138.18,Checkup,Pets
Credit Card,2026-05-04,City Water & Power,-220.36,Monthly utility bill,Utilities
Checking,2026-05-04,Petco,-75.87,,Pets
Checking,2026-05-04,Local Food Bank,-84.95,Donation,Gifts/Donations
Checking,2026-05-05,Amazon,-225.77,Online order,Uncategorized
Credit Card,2026-05-06,Old Navy,-101.38,,Clothing
Credit Card,2026-05-06,Riverside Family Clinic,-268.76,Copay,Medical
Checking,2026-05-06,Statewide Insurance,-318.13,Auto + home bundle,Insurance
Credit Card,2026-05-06,Metro Gas Co,-100.59,Monthly utility bill,Utilities
Checking,2026-05-06,Michaels,-50.70,AplPay MICHAELS,Spending Money
Checking,2026-05-06,Michaels,-33.31,AplPay MICHAELS,Spending Money
Credit Card,2026-05-06,Lowe's,-383.89,,Home Improvement
Checking,2026-05-07,Downtown Pharmacy,-235.73,,Medical
Savings,2026-05-08,Ace Hardware,-36.71,,Home Improvement
Savings,2026-05-08,Riverside Animal Hospital,-52.83,Checkup,Pets
Credit Card,2026-05-08,Ace Hardware,-216.50,,Home Improvement
Checking,2026-05-09,GuardHealth Insurance,-173.08,Premium payment,Insurance
Checking,2026-05-09,Local Food Bank,-145.20,Donation,Gifts/Donations
Credit Card,2026-05-11,Nordstrom Rack,-109.07,,Clothing
Checking,2026-05-11,Acme Corp Payroll,1927.49,Direct deposit,Income/Paycheck
Checking,2026-05-11,Local Bowling Alley,-17.05,,Fun Money/Entertainment
Credit Card,2026-05-11,Spotify,-10.90,,Subscriptions
Credit Card,2026-05-12,Bright Smile Dental,-191.71,Cleaning,Medical
Savings,2026-05-13,Steam,-123.64,Game purchase,Fun Money/Entertainment
Credit Card,2026-05-13,Lowe's,-253.31,,Home Improvement
Credit Card,2026-05-13,Local Food Bank,-241.35,Donation,Gifts/Donations
Savings,2026-05-13,Trader Joe's,-157.70,,Groceries
Checking,2026-05-14,Fiber Internet Co,-119.81,Internet service,Utilities
Checking,2026-05-15,Downtown Pharmacy,-91.51,,Medical
Credit Card,2026-05-16,Sunshine Daycare,-116.59,Weekly childcare,Kids/Childcare
Credit Card,2026-05-16,Midas Auto Service,-386.28,,Auto Maintenance
Checking,2026-05-17,Acme Corp Payroll,2811.99,Direct deposit,Income/Paycheck
Savings,2026-05-17,Riverside Family Clinic,-66.67,Copay,Medical
Savings,2026-05-18,Riverside Family Clinic,-181.53,Copay,Medical
Credit Card,2026-05-18,Enterprise Rent-A-Car,-324.66,,Travel
Credit Card,2026-05-18,iCloud Storage,-22.30,,Subscriptions
Checking,2026-05-19,Little Learners Preschool,-379.03,Tuition,Kids/Childcare
Credit Card,2026-05-19,iCloud Storage,-13.32,,Subscriptions
Checking,2026-05-19,City Water & Power,-79.51,Monthly utility bill,Utilities
Credit Card,2026-05-19,Meridian Property Mgmt,-1491.41,Monthly rent,Mortgage/Rent
Credit Card,2026-05-20,Internal Transfer,-273.47,Buffer savings transfer,2 Month Buffer
Checking,2026-05-20,Circle K,-60.11,AplPay CIRCLE K,Fuel & Parking
Checking,2026-05-21,Steam,-31.16,Game purchase,Fun Money/Entertainment
Credit Card,2026-05-22,Local Bowling Alley,-28.71,,Fun Money/Entertainment
Savings,2026-05-23,Target,-37.09,,Spending Money
Checking,2026-05-24,Sunshine Daycare,-377.08,Weekly childcare,Kids/Childcare
Savings,2026-05-25,Old Navy,-66.48,,Clothing
Checking,2026-05-25,Nordstrom Rack,-77.33,,Clothing
Savings,2026-05-25,Netflix,-15.03,,Subscriptions
Checking,2026-05-25,Chick fil A,-29.97,,Restaurants
Credit Card,2026-05-26,Acme Corp Payroll,2910.98,Direct deposit,Income/Paycheck
Checking,2026-05-26,Chevron,-68.91,,Fuel & Parking
Checking,2026-05-27,Chipotle,-24.33,,Restaurants
Checking,2026-05-27,Midas Auto Service,-685.76,,Auto Maintenance
Credit Card,2026-05-29,Safeway,-35.07,,Groceries
Savings,2026-05-29,Venmo,-120.66,Payment to friend,Uncategorized
Checking,2026-05-30,Circle K,-12.64,AplPay CIRCLE K,Fuel & Parking
Checking,2026-05-30,Enterprise Rent-A-Car,-845.90,,Travel
Checking,2026-05-31,Bright Smile Dental,-357.11,Cleaning,Medical
Credit Card,2026-05-31,Internal Transfer,-82.50,Buffer savings transfer,2 Month Buffer
Checking,2026-06-01,Jiffy Lube,-443.85,Oil change,Auto Maintenance
Savings,2026-06-01,Internal Transfer,-103.42,Transfer between own accounts,Uncategorized
Checking,2026-06-01,Nordstrom Rack,-125.79,,Clothing
Savings,2026-06-02,Acme Corp Payroll,2736.90,Direct deposit,Income/Paycheck
Checking,2026-06-02,GuardHealth Insurance,-260.39,Premium payment,Insurance
Credit Card,2026-06-03,Nordstrom Rack,-47.45,,Clothing
Credit Card,2026-06-03,GuardHealth Insurance,-298.49,Premium payment,Insurance
Credit Card,2026-06-03,AMC Theatres,-18.00,,Fun Money/Entertainment
Savings,2026-06-04,iCloud Storage,-14.32,,Subscriptions
Savings,2026-06-04,Summit Home Loans,-1875.95,Mortgage payment,Mortgage/Rent
Credit Card,2026-06-04,Nordstrom Rack,-199.03,,Clothing
Credit Card,2026-06-05,Nordstrom Rack,-65.29,,Clothing
Checking,2026-06-06,Netflix,-18.83,,Subscriptions
Savings,2026-06-07,Chipotle,-11.91,,Restaurants
Savings,2026-06-08,Meridian Property Mgmt,-1875.79,Monthly rent,Mortgage/Rent
Savings,2026-06-08,AMC Theatres,-58.14,,Fun Money/Entertainment
Savings,2026-06-09,Internal Transfer,-290.21,Buffer savings transfer,2 Month Buffer
Checking,2026-06-09,Michaels,-7.61,AplPay MICHAELS,Spending Money
Savings,2026-06-10,City Water & Power,-46.48,Monthly utility bill,Utilities
Credit Card,2026-06-10,Trader Joe's,-21.20,,Groceries
Credit Card,2026-06-12,GuardHealth Insurance,-247.41,Premium payment,Insurance
Savings,2026-06-13,Internal Transfer,-306.91,Buffer savings transfer,2 Month Buffer
Credit Card,2026-06-13,Amazon,-146.03,Online order,Uncategorized
Credit Card,2026-06-13,Walmart,-170.80,,Uncategorized
Credit Card,2026-06-14,Etsy,-63.07,Online order,Spending Money
Savings,2026-06-14,Red Cross,-129.00,Donation,Gifts/Donations
Savings,2026-06-15,Nordstrom Rack,-66.99,,Clothing
Checking,2026-06-17,GuardHealth Insurance,-131.69,Premium payment,Insurance
Savings,2026-06-17,Acme Corp Payroll,2649.83,Direct deposit,Income/Paycheck
Checking,2026-06-17,Acme Corp Payroll,2418.91,Direct deposit,Income/Paycheck
Savings,2026-06-18,Marriott Hotels,-219.92,,Travel
Credit Card,2026-06-19,Little Learners Preschool,-357.47,Tuition,Kids/Childcare
Credit Card,2026-06-19,Chevron,-11.80,,Fuel & Parking
Checking,2026-06-19,Downtown Pharmacy,-390.32,,Medical
Savings,2026-06-19,Red Cross,-41.69,Donation,Gifts/Donations
Credit Card,2026-06-21,Chipotle,-48.34,,Restaurants
Savings,2026-06-21,Marriott Hotels,-340.82,,Travel
Savings,2026-06-21,Summit Home Loans,-1901.52,Mortgage payment,Mortgage/Rent
Savings,2026-06-21,Little Learners Preschool,-67.18,Tuition,Kids/Childcare
Credit Card,2026-06-23,Lowe's,-524.12,,Home Improvement
Savings,2026-06-23,Chick fil A,-60.69,,Restaurants
Credit Card,2026-06-23,Nordstrom Rack,-168.60,,Clothing
Credit Card,2026-06-24,Netflix,-24.64,,Subscriptions
Savings,2026-06-26,Bright Smile Dental,-357.73,Cleaning,Medical
Checking,2026-06-26,Midas Auto Service,-53.30,,Auto Maintenance
Checking,2026-06-26,Trader Joe's,-128.60,,Groceries
Credit Card,2026-06-27,Old Navy,-176.98,,Clothing
Checking,2026-06-27,Lowe's,-48.72,,Home Improvement
Credit Card,2026-06-28,Little Learners Preschool,-112.02,Tuition,Kids/Childcare
